gmm-init-model --write-occs=exp/tri/00.occs exp/tree/tree exp/tree/tree.acc train/topo exp/tri/00.mdl 
LOG (gmm-init-model:main():gmm-init-model.cc:271) Number of separate statistics is 9816
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 22: 99; corresponding phone list: 9 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 985: 84; corresponding phone list: 5 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 995: 12; corresponding phone list: 36 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 998: 82; corresponding phone list: 36 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1014: 29; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1021: 13; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1024: 95; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1052: 85; corresponding phone list: 3 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1090: 8; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1101: 85; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1117: 57; corresponding phone list: 20 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1121: 99; corresponding phone list: 6 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1145: 90; corresponding phone list: 23 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1149: 60; corresponding phone list: 23 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1152: 86; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1153: 46; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1154: 90; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1156: 28; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1173: 87; corresponding phone list: 36 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1179: 49; corresponding phone list: 3 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1206: 81; corresponding phone list: 24 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1250: 85; corresponding phone list: 19 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1252: 69; corresponding phone list: 19 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1264: 76; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1279: 93; corresponding phone list: 15 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1322: 68; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1334: 13; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1338: 87; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1345: 88; corresponding phone list: 6 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1352: 81; corresponding phone list: 29 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1372: 75; corresponding phone list: 26 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1426: 55; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1428: 76; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1434: 99; corresponding phone list: 10 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1448: 77; corresponding phone list: 20 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1458: 69; corresponding phone list: 33 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1468: 44; corresponding phone list: 36 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1470: 74; corresponding phone list: 30 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1507: 43; corresponding phone list: 26 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1509: 26; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1532: 95; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1533: 67; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1542: 58; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1545: 70; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1552: 79; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1557: 79; corresponding phone list: 9 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1560: 29; corresponding phone list: 35 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1570: 70; corresponding phone list: 20 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1597: 63; corresponding phone list: 20 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1612: 31; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1615: 99; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1617: 59; corresponding phone list: 2 
WARNING (gmm-init-model:InitAmGmm():gmm-init-model.cc:83) Very small count for state 1619: 56; corresponding phone list: 2 
LOG (gmm-init-model:main():gmm-init-model.cc:306) Wrote model.
